id,name
3768,RealNetworks Inc
3769,Allergan plc
1043362,Nanexa BTU
158448,ION Geophysical Corp
3780,eBay Inc
3781,Dillard's Inc
217521,LG Display Co Ltd
3783,American International Group Inc
3784,Coca-Cola European Partners PLC
81967,CellaVision
206868,Aker BP
1042029,NeoDynamics BTA
813716,Sellas Life Sciences Group Inc
78329,Jæren Sparebank
813715,Current Water Technologies Inc
217519,Cyclacel Pharmaceuticals Inc
551912,Alico Inc
813717,Nutrien Ltd
995634,Gbs Inc
995635,Apteryx Imaging Inc
995636,Volatus Capital Corp
995637,Satsuma Pharmaceuticals Inc
93988,Credicorp Ltd
435816,NV5 Global Inc
93987,Vale SA
995639,Tyme Technologies Inc
488347,Journey Energy Inc
791896,Terveystalo Oyj
79687,Fortnox
488356,Zalaris
791893,Maxar Technologies Inc
791894,Webstep
283038,ZetaDisplay
283036,Vindico Group
3788,Cabot Microelectronics Corp
283034,iZafe Group B
995641,QuestCap Inc
730897,Oncopeptides
283031,Acasti Pharma Inc
995643,AYR Strategies Inc
435802,Premier Inc
995644,Canopy River
730895,Snap Inc
730894,Workhorse Group Inc
435801,Applied Optoelectronics Inc
995646,Core One Labs Inc
813787,Orgo Tech
730893,Wireless Telecom Group Inc
952517,NewLeaf Brands Inc
952518,Zoom Video Communications Inc
952515,Iveric Bio Inc
435805,Universal Security Instruments Inc
285632,Karolinska Development B
952516,Sky Gold Corp
435804,Re/Max Holdings Inc
285634,FX International
952514,Pinterest Inc
435808,Leidos Holdings Inc
435807,RingCentral Inc
766854,iApotek
488345,Zafgen Inc
385056,Amicus Therapeutics Inc
488344,Theravance Biopharma Inc
488343,Ardelyx Inc
676675,Line Corp
490658,Pfenex Inc
3797,Steel Dynamics Inc
490659,CareDx Inc
490656,Cymabay Therapeutics Inc
490655,Spok Holdings Inc
812420,Rockridge Resources Ltd
812422,Newmark Group Inc
824413,Victory Capital Holdings Inc
272368,Ritchie Bros. Auctioneers Inc
812417,Indiva Ltd
566196,Ceres Global Ag Corp
812419,Casa Systems Inc
105930,Eurocon Consulting
811105,Toadman Interactive
766831,Peckas Naturodlingar B
426065,Margaux Resources Ltd
426060,Input Capital Corp
426061,Conatus Pharmaceuticals Inc
502937,Element Financial Corp Pref
117968,Vista Gold Corp
117969,Rubicon Minerals Corp
426067,POET Technologies Inc
502935,Great-West Lifeco Inc Pref
902293,Sirius International Insurance Group Ltd
902294,Seluxit
438054,SyntheticMR
502941,Algonquin Power & Utilities Corp Pref
502942,Cato Corp
85488,Endomines
195450,Lincoln Gold Mining Inc
847115,Green Organic Dutchman Holdings Ltd
861421,Synex International Inc
861420,Golden Pursuit Resources Ltd
1049511,Northern Ocean Ltd.
96127,Cosigo Resources Ltd
98787,Hanwei Energy Services Corp
989814,Academy Metals Inc
639600,Dividend Sweden B
861419,Global Dividend Growth Split Corp
861417,Richards Packaging Income Fund
861413,Ravensource Fund
1049510,Zhongchao Inc
567476,DAVIDsTEA Inc
861431,Epiroc B
861430,Epiroc A
216269,51job Inc
154930,Loomis B
542136,Lupaka Gold Corp
313361,Briox
926273,Organic Flower Investments Group Inc
836433,Spotify Technology SA
338658,Cascadero Copper Corp
338659,Proto Labs Inc
891292,Metacon
567480,Corline Biomedical
964505,Ultimovacs
861429,Sunwah International Ltd
861427,Richelieu Hardware Ltd
861426,Blue Ribbon Income Fund
861423,S Split Corp
861422,Aritzia Inc
502943,Methode Electronics Inc
338655,Allegiant Travel Co
216270,New York Mortgage Trust Inc
710475,Manganese X Energy Corp
710474,Network-1 Technologies Inc
710473,Newrange Gold Corp
542135,Golden Star Resources Ltd
301399,Apollo Global Management Inc
301397,Glu Mobile Inc
326658,Greenlight Capital Re Ltd
326657,Ameresco Inc
551909,ArcBest Corp
326659,AcelRx Pharmaceuticals Inc
182108,Everysport A
114017,Remington Resources Inc
115348,CGX Energy Inc
610800,Century Global Commodities Corp
610801,Duluth Holdings Inc
681175,Global Net Lease Inc
114022,CF Energy Corp
1054070,True Heading BTA B
551903,Albany International Corp
551904,AMN Healthcare Services Inc
438018,Voxeljet AG
438019,Shiloh Industries Inc
551902,ABM Industries Inc
56967,Credit Suisse Group AG
551907,Alamo Group Inc
551908,1st Source Corp
551905,Alamos Gold Inc
438015,Science Applications International Corp
551906,Atlas Air Worldwide Holdings Inc
25827,Coeur Mining Inc
25829,Devon Energy Corp
25828,CIT Group Inc
254570,Upper Canyon Minerals Corp
254568,Great Atlantic Resources Corp
681179,Skeena Resources Ltd
681178,Pennine Petroleum Corp
158470,Precio Fishbone B
68967,Teck Resources Ltd
614395,A and W Revenue Royalties Income Fund
614397,Telus Corporation Voting
614399,Midatech Pharma PLC
241228,China Gold International Resources Corp Ltd
279834,North American Construction Group Ltd
117997,Orestone Mining Corp
952575,Eurobattery Minerals
862713,Shelf Drilling
253208,Trevali Mining Corp
452323,BancFirst Corp
302676,Precision Drilling Corp
302675,PAR Technology Corp
452321,Navios Maritime Acquisition Corp
302678,Samco Gold Ltd
426058,Badger Daylighting Ltd
438020,Sierra Wireless Inc
1014854,Centaurus Energy Inc
1014855,Q&K International Group Ltd
909753,Shine Minerals Corp
638339,GasLog Partners LP
638336,Natural Health Trends Corp
172789,Nevada Copper Corp
452319,Bridgeline Digital Inc
452316,China Jo-Jo Drugstores Inc
452315,Torchlight Energy Resources Inc
693132,WilLak
470180,Mediwound Ltd
165528,Franco-Nevada Corp
632119,Cemtrex Inc
632118,MoSys Inc
632116,Northern Technologies International Corp
632122,Natural Alternatives International Inc
632121,Advanced Disposal Services Inc
769139,NextCell
632120,P&F Industries Inc
769137,Teekay Offshore Partners LP Preferred share
769135,Providence Gold Mines Inc
632124,OncoSec Medical Inc
632123,AMREP Corp
769136,GFG Resources Inc
470175,Paylocity Holding Corp
769133,Teekay Offshore Partners LP
769134,Akcea Therapeutics Inc
470176,Q2 Holdings Inc
470178,A10 Networks Inc
405997,Orca Gold Inc
405996,BWR Exploration Inc
405999,Amerco
127248,NorthWestern Corp
520898,Lifco B
470186,Akebia Therapeutics Inc
416678,PennyMac Financial Services Inc
620115,Orezone Gold Corp
416675,Kamada Ltd
620117,Buffalo Coal Corp
97407,Systemair
241268,Golden Tag Resources Ltd
253249,Amtech Systems Inc
416680,Epizyme Inc
658779,Ivrnet Inc
658776,Chromadex Corp
860078,BNS Split Corp II
860079,Grid Metals Corp
860076,Becker Milk Co Ltd
860077,New Look Vision Group Inc
860074,Avalara Inc
860075,Puxin Ltd
860073,Perspecta Inc
482131,myFC Holding
556803,Tobii
253254,Nektar Therapeutics
253257,Geo Group Inc
74788,Online Brands Nordic
74787,Wise Group
483454,Trillium Therapeutics Inc
760751,Paxman
483455,Cyprium Mining Corp
608455,Mesoblast Ltd
380175,Pistol Bay Mining Inc
608456,Match Group Inc
795455,National Vision Holdings Inc
301400,GSI Technology Inc
483449,Wisdom Tree Investments Inc
695721,InDex Pharmaceuticals Holding
695720,Coupa Software Inc
483440,Kinaxis Inc
483443,Trinseo SA
483447,Atlantica Yield PLC
483446,Tecogen Inc
483450,Syndax Pharmaceuticals Inc
806576,Adial Pharmaceuticals Inc
886617,Elanco Animal Health Inc
806575,Bioanalytical Systems Inc
886616,Bank7 Corp
806578,Compass Gold Corp
806577,Immutep Ltd
886615,Farfetch Ltd
710499,ByggPartner
806574,Synthesis Energy Systems Inc
886614,Eventbrite Inc
806573,Flexible Solutions International Inc
483437,Aspen Aerogels Inc
483439,ENTREC Corp
482109,Russian Real Estate Inv.
6048,Millicom Int. Cellular SDB
6047,Bredband2 i Skandinavien
695713,AquaVenture Holdings Ltd
695716,Obalon Therapeutics Inc
278592,Osino Resources Corp
695715,SolidusGold Inc
278591,Acasta Enterprises Inc
278590,Montana Exploration Corp
695717,Arch Coal Inc
695719,Everspin Technologies Inc
253288,Edgewater Exploration Ltd
183388,Golden Arrow Resources Corp
907175,TuanChe Ltd
907176,Axolot Solutions Holding
183389,ATAC Resources Ltd
907173,Tiziana Life Sciences PLC
907174,RTW Retailwinds Inc
380183,Score Media and Gaming Inc
380187,Wolfden Resources Corp
343235,Zimtu Capital Corp
945455,Silk Road Medical Inc
945457,Genfit SA
945456,NGM Biopharmaceuticals Inc
421175,ProntoForms Corp
421176,True North Commercial REIT
224792,National Grid PLC
788297,HIVE Blockchain Technologies Ltd
956114,Ares Management Corp
224790,Limelight Networks Inc
956115,TrustBIX Inc
788294,Despegar.com Corp
788293,Zai Lab Ltd
788296,BEST Inc
946774,Tradeweb Markets Inc
1020797,Lmp Automotive Holdings Inc
1020796,SiTime Corp
599956,Sinch
471436,Ortoma B
345876,Plata Latina Minerals Corp
345877,TomaGold Corp
806581,Awardit
6081,Tethys Oil
3804,Plantronics Inc
549696,TrustCo Bank Corp N Y
3805,Paychex Inc
549698,Team Inc
3807,Boston Scientific Corp
933491,TCR2 Therapeutics Inc
343202,Fengro Industries Corp
343201,Graphite One Inc
31607,ICA Gruppen
3800,Allstate Corp
3803,Coca-Cola Co
549695,J & J Snack Foods Corp
343200,GasLog Ltd
1018454,Venus Concept Inc
945460,Nordic Entertainment Group B
1018455,Adapthealth Corp
945461,Nordic Entertainment Group A
3815,ING Groep NV
933488,Norra Metals Corp
3817,Berkshire Hathaway Inc Class A
933486,Hoth Therapeutics Inc
933487,Stealth BioTherapeutics Corp
3810,Amgen Inc
603613,Hamlet Pharma
933485,Skarb Exploration Corp
3812,Comcast Corp Class A
3813,Waste Management Inc
933483,Composite Alliance Group Inc
860087,Buhler Industries Inc
860085,Auxly Cannabis Group Inc
860086,Mastech Digital Inc
235488,Blumetric Environmental Inc
860083,Nano Dimension Ltd
860084,Progressive Planet Solutions Inc
860081,Flow Capital Corp
860082,Brompton Lifeco Split Corp
3826,Fresenius Medical Care AG & Co KGaA
3827,CenterPoint Energy Inc
247473,Erin Ventures Inc
3820,Merck & Co Inc
3822,Brown & Brown Inc
3824,Webster Financial Corp
3825,Ecopetrol SA
801714,Crown Mining Corp
3837,CSG Systems International Inc
3838,Steris plc
796713,International Prospect Ventures Ltd
446415,Hilton Worldwide Holdings Inc
446418,Alvopetro Energy Ltd
716638,AppSpotr
716639,Acarix
716637,Axxis Geo Solutions
716634,Trivago NV
3835,Genworth Financial Inc
620155,Organto Foods Inc
620156,Ionis Pharmaceuticals Inc
632100,Pioneer Power Solutions Inc
122413,Golden Valley Mines Ltd
122410,Corsa Coal Corp
632103,Nortech Systems Inc
632102,Misonix Inc
122411,ZoomMed Inc
632101,Pro-Dex Inc
3841,Celestica Inc
3842,International Paper Co
3843,JetBlue Airways Corp
3844,KLA Corp
3845,Tyson Foods Inc
3860,Gartner Inc
3861,Fluor Corp
248789,RealPage Inc
632107,Allied Healthcare Products Inc
632106,Kewaunee Scientific Corp
632105,Corbus Pharmaceuticals Holdings Inc
319556,Semafo
248791,Blue Sky Uranium Corp
632110,CTI Industries Corp
632115,CPS Technologies Corp
632114,Charles & Colvard Ltd
632113,Willamette Valley Vineyards Inc
632112,Chembio Diagnostics Inc
771453,Calyxt Inc
3851,Interpublic Group of Companies Inc
3855,Plexus Corp
769140,OmniCar
435797,Pattern Energy Group Inc
3857,Corning Inc
3858,Progressive Corp
752371,CloudRepublic B
3871,Black Hills Corp
3872,Nordson Corp
813856,GCC Global Capital Corp
549506,Anixter International Inc
549507,Universal Logistics Holdings Inc
549509,Aaron's Inc
1053060,Trane Technologies PLC
549510,AerCap Holdings NV
1053061,Golden Birch Resources Inc
1053062,Primo Water Corp (MISSISSAUGA)
549511,American Equity Investment Life Holding Co
1053063,GFL Environmental Inc
549512,CoStar Group Inc
549513,Abiomed Inc
639557,RhoVac
549515,Universal Forest Products Inc
259008,Erdene Resource Development Corp
